game	roll_over_points	alias1	alias2
ActRaiser			
Another World		Out of This World	
Barkley, Shut Up and Jam: Gaiden - Chapter 1 of the Hoopz Barkley SaGa		Barkley, Shut Up and Jam: Gaiden	
Beneath a Steel Sky			
Burnout 3: Takedown		Burnout 3	Burnout 3 Takedown
Carmageddon			
Castlevania: Aria of Sorrow			
Chrono Trigger		Chronotrigger	
Crystalis			
Descent			
Duke Nukem 3D			
Fighters Megamix			
Freddy Pharkas: Frontier Pharmacist			
JSRF: Jet Set Radio Future			
Kaeru no Tame ni Kane wa Naru (The Frog for Whom the Bell Tolls)		Kaeru no Tame ni Kane wa Naru	
Lode Runner		Load Runner	
Lord Monarch			
Lufia II: Rise of the Sinistrals			
Metroid			
Metroid Prime			
Populous			
Racing Lagoon			
Resident Evil			
Sam & Max: Hit the Road			
Seaman			
Sid Meier’s Covert Action			
Sid Meier’s Pirates		Sid Meier's Pirates!	
Star Wars: TIE Fighter			
StarTropics			
Super Castlevania IV			
Tetris			
The Colonel’s Bequest			
The Last Express			
The Legend of Zelda: A Link to the Past		Zelda Link to the Past	
The Legend of Zelda: Link’s Awakening			
The Legend of Zelda: The Wind Waker		The Legend of Zelda: Wind Waker	
The Secret of Monkey Island			
Threads of Fate			
Tony Hawk’s Pro-Skater 2			
Uplink			
The Way			
Back in a Flash			
Behind the Wheel			
Fixated on Fixed Screen Shooters			
Hop Skip Jump			
Mr. Defaxxonobbleoid			
PlayStation WHAT?			
Recursive Repertoires			
rOGuelikes			
Scroll Lock-on		Scroll lock on	
The Grue That Binds			
